albumGenreId,albumId,genreId
1,1,1
2,1,2
3,1,3
4,2,1
5,2,4
6,2,3
7,3,1
8,3,5
9,4,1
10,4,2
11,5,6
12,5,7
13,5,8
14,5,9
15,6,1
16,6,2
17,6,10
18,7,1
19,7,11
20,7,12
21,7,13
22,8,1
23,8,5
24,9,1
25,9,13
26,9,12
27,9,11
28,10,1
29,10,13
30,10,11
31,11,1
32,11,14
33,11,12
34,12,1
35,12,12
36,12,15
37,13,1
38,13,12
39,13,11
40,14,1
41,14,7
42,14,16
43,14,4
44,15,17
45,15,18
46,16,1
47,16,11
48,17,1
49,17,2
50,18,1
51,18,11
52,18,19
53,19,1
54,19,12
55,19,20
56,20,1
57,20,11
58,21,1
59,21,6
60,21,7
61,21,21
62,21,22
63,21,23
64,21,5
65,21,24
66,22,1
67,22,5
68,23,1
69,23,5
70,24,25
71,24,1
72,24,26
73,25,1
74,25,26
75,25,27
76,25,28
77,26,1
78,26,3
79,26,2
80,27,1
81,27,29
82,27,20
83,27,12
84,28,1
85,28,3
86,28,12
87,29,1
88,29,12
89,29,11
90,30,1
91,30,7
92,30,16
93,30,5
94,30,4
95,31,1
96,31,5
97,31,30
98,32,1
99,32,11
100,32,12
101,32,5
102,33,1
103,33,10
104,33,5
105,34,1
106,34,12
107,35,1
108,35,31
109,35,32
110,36,33
111,36,33
112,36,34
113,37,1
114,37,3
115,38,1
116,38,35
117,38,13
118,38,3
119,39,1
120,39,12
121,39,11
122,40,1
123,40,7
124,40,36
125,40,11
126,40,5
127,40,12
128,40,4
129,40,15
130,41,1
131,41,11
132,41,37
133,41,3
134,42,1
135,42,6
136,42,7
137,42,5
138,42,24
139,42,9
140,43,1
141,43,4
142,43,13
143,43,20
144,44,1
145,44,38
146,44,10
147,44,39
148,44,3
149,45,1
150,45,31
151,46,1
152,46,7
153,46,5
154,46,40
155,47,1
156,47,32
157,47,41
158,48,1
159,48,42
160,48,43
161,49,1
162,49,5
163,49,32
164,50,1
165,50,2
